,AAPL,ADBE,AMZN,BTC-USD,FB,GCF,IRX,MSFT,NVDA,QCOM,TSLA,TXN
AAPL,0.15253685978912412,0.11396323073594637,0.08639826720356085,-0.004235106487389835,0.11032063223798055,-0.0032698663426759637,-0.736723758405078,0.11207728317637092,0.14543713347987272,0.11643428778192266,0.13894147294666756,0.10087000380313028
ADBE,0.11396323073594637,0.15971711513899572,0.09464934792800976,-0.011094432814196004,0.11282602104597597,-0.004682285982781618,-0.9685473335098809,0.12119146025790173,0.1491148809791437,0.11828148172386709,0.14193429696739693,0.1053995639955486
AMZN,0.08639826720356085,0.09464934792800976,0.10445365786632947,-0.012647607454473303,0.08592567631687588,-0.000946291626668069,-0.33019629011955876,0.0849628004787714,0.10509850291843444,0.0794546738225665,0.1103586066467049,0.07209457374277216
BTC-USD,-0.004235106487389835,-0.011094432814196004,-0.012647607454473303,0.401130601678086,0.004830539997618505,-0.009399831250702439,-0.0020877545466373064,-0.013924037311172957,0.0022719146160564857,-0.009384941535601085,-0.052351181561717613,-0.004913530145068615
FB,0.11032063223798055,0.11282602104597597,0.08592567631687588,0.004830539997618505,0.15064902523379675,-0.001891996516867222,-0.5291795269638061,0.10248257537577048,0.12659696294173228,0.09571472918115324,0.11607366693061225,0.08367225528984842
GCF,-0.0032698663426759637,-0.004682285982781618,-0.000946291626668069,-0.009399831250702439,-0.001891996516867222,0.03568571128255011,0.19751585441230632,-0.005013642312457506,-0.006290549996036982,-0.004710737806822215,-0.0007203090666902702,-0.007358043252983708
IRX,-0.736723758405078,-0.9685473335098809,-0.33019629011955876,-0.0020877545466373064,-0.5291795269638061,0.19751585441230632,75.19792006338493,-0.7948242606718989,-0.707476694467184,-0.6599552498563015,0.31409921440269284,-0.45171079870503966
MSFT,0.11207728317637092,0.12119146025790173,0.0849628004787714,-0.013924037311172957,0.10248257537577048,-0.005013642312457506,-0.7948242606718989,0.12731999993781115,0.14250628961630796,0.1129729513796523,0.13178540237736344,0.10074794189168744
NVDA,0.14543713347987272,0.1491148809791437,0.10509850291843444,0.0022719146160564857,0.12659696294173228,-0.006290549996036982,-0.707476694467184,0.14250628961630796,0.25851153141590466,0.15647735654923248,0.18816986707576597,0.14478653394632743
QCOM,0.11643428778192266,0.11828148172386709,0.0794546738225665,-0.009384941535601085,0.09571472918115324,-0.004710737806822215,-0.6599552498563015,0.1129729513796523,0.15647735654923248,0.20288089550358526,0.13965108849269678,0.12678528908836467
TSLA,0.13894147294666756,0.14193429696739693,0.1103586066467049,-0.052351181561717613,0.11607366693061225,-0.0007203090666902702,0.31409921440269284,0.13178540237736344,0.18816986707576597,0.13965108849269678,0.5764873741766338,0.1099913616061931
TXN,0.10087000380313028,0.1053995639955486,0.07209457374277216,-0.004913530145068615,0.08367225528984842,-0.007358043252983708,-0.45171079870503966,0.10074794189168744,0.14478653394632743,0.12678528908836467,0.1099913616061931,0.14132451266625093
