,Mean Return
AAPL,0.0006206565153600979
ADBE,-2.990359645146934e-05
AMD,0.0004360297031512332
AMZN,-0.000761768984892307
BRK,0.0008098053910374836
CVX,0.0006224792790611256
DIS,-6.712113195583448e-05
GOOGL,-0.0007824681027483459
INTC,-0.0005829617702699612
JNJ,3.072540023167691e-05
KO,0.000326618027452704
MA,0.0008449988784537293
META,0.0012842485061218334
MSFT,0.00048265487895981916
NFLX,0.0009697016952517604
NVDA,0.0013492910524161572
PG,0.00033236433634423575
TSLA,-0.0002585651371381047
V,0.0007703302935747372
XOM,0.0010495344063160856
